PVWatts: Monthly PV Performance Data,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,
Lat (deg N):,38.89,,,,
Long (deg W):,76.98,,,,
Elev (m):,22.44000053,,,,
DC System Size (kW):,34,,,,
Module Type:,Standard,,,,
Array Type:,Fixed (open rack),,,,
Array Tilt (deg):,20,,,,
Array Azimuth (deg):,180,,,,
System Losses:,14.08,,,,
Invert Efficiency:,96,,,,
DC to AC Size Ratio:,1.2,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,
Capacity Factor (%),"15.6	",,,,
,,,,,
Month,AC System Output (kWh),Solar Radiation (kWh/m^2/day),Plane of Array Irradiance (W/m^2),DC array Output (kWh),Value ($)
1,3017.754395,3.34719849,103.7631531,3152.373291,331.35
2,3441.288574,4.34006405,121.5217896,3594.255371,377.85
3,4144.880371,4.84813738,150.2922516,4328.900391,455.11
4,4529.541504,5.65274334,169.5823059,4733.035645,497.34
5,4738.326172,5.83313465,180.827179,4950.806152,520.27
6,4614.881348,6.13249445,183.9748383,4818.981445,506.71
7,4866.80127,6.37510443,197.6282349,5081.379883,534.37
8,4367.129395,5.78441906,179.3169861,4561.705078,479.51
9,3840.114258,5.08248472,152.4745483,4011.199463,421.64
10,3562.550781,4.3611846,135.1967163,3720.787598,391.17
11,2912.789795,3.57602429,107.2807312,3046.033691,319.82
12,2488.749756,2.80874228,87.0710144,2608.170166,273.26
Total,46524.80762,58.14173174,1768.929749,48607.62817,5108.4
